CODE,RESOLVED_DESCRIPTION,SOURCE,VARIANTS
1,Deductible Amount,CARC dictionary,Misdirected claims (x1) | Redirected claim (x1)
10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,Invalid policy/id number (x1) | Duplicate Claim appeal (x1) | Remaining portion of bill paid by healthcare insurance (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT/INCOMPLETE. (x1)
11,The diagnosis is inconsistent with the procedure,CARC dictionary,No NPI on submitted claim (x1) | No Fault - Denied Driving under the Influence. (x1) | No Fault - Failure to appear for medical exam by an insurer is a breach of a condition precedent to coveage under the no fault policy. (x1)
13,The date of death precedes the date of service,CARC dictionary,Health Savings account payments (x2) | Incorrect Place of Sevice (x1) | his service/equipment/drug is not covered under the patients current benefit plan (x1)
14,The date of birth follows the date of service,CARC dictionary,Initial decision upheld (x1) | Incorrect carrier (x1) | INCORRECT PLACE OF SEVICE (x1) | Incorrect Place of Sevice (x1)
18,Exact duplicate claim/service,CARC dictionary,Cap. hospital responsibility (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | PAYMENT REDUCED DUE TO OTHER INSURANCE PAYMENT. (x1) | This (these) diagnosis(es) is (are) not covered. (x1)
19,This is a work-related injury/illness,CARC dictionary,Denied to Logisticare (x1) | Disposition of Service Line is pending review (x1)
2,Coinsurance Amount,CARC dictionary,Recipient is Not Elig 4 Mcal (x1) | Member cannot be identified (x1)
21,This injury/illness is the liability of the no-fault carrier,CARC dictionary,EXTRN CAUSE OF INJURY DX CANNOT BE PRIMARY DX. (x1) | The procedure code is inconsistent with the provider type/specialty (taxonomy). (x1)
48,This service is not covered unless the injury is work-related,CARC dictionary,Payment denied/reduced for absence of precertification/authorization (x1) | These are non-covered services because this is a pre-existing condition (x1)
9,The diagnosis is inconsistent with the patient's age,CARC dictionary,EXPENSES INCURRED PRIOR TO COVERAGE. (x2) | DISCOVERED PT HAS MEDICARE-BILL MEDICARE DIRECTLY. (x1) | Expenses not approved by medicare are not covered (x1)
AO23,Co-payment Amount,CARC dictionary,"Other Ajustments - Impact of prior payers adjudication  including payments and /or adjustments (x1) | Not medically necessary, per medical director. (x1)"
CO-284,ESRD network approval not obtained,CARC dictionary,Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services. (x1) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x1) | Payment made to patient/insured/responsible party. (x1)
CO001,Deductible Amount,CARC dictionary,PAYMNT ADJUSTMNT TO PREV CLAIM (x1) | IM HAS BEEN FORWARDED TO THEM FO (x1)
CO0012,The diagnosis is inconsistent with the provider type,CARC dictionary,Info Missing/Incomplete (x1) | Hospital Inpatient Controversy (x1)
CO0014,The date of birth follows the date of service,CARC dictionary,INITIAL DECISION-UPHELD (x1) | Incorrect Place of Sevice (x1)
CO0015,"The authorization number is missing, invalid, or does not apply",CARC dictionary,Medicare Disallowed service (x1) | Lifetime benefit maximum has been reached. (x1)
CO0016,Claim/service lacks information or has submission error(s),CARC dictionary,MEDICARE IS PRIMARY (x1) | Major Medical Adjustment. (x1)
CO0017,Requested information was not provided or was insufficient/incomplete,CARC dictionary,BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN. (x1) | BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN (x1) | Benefits adjusted. Plan procedures not followed. (x1)
CO002,Coinsurance Amount,CARC dictionary,REOPENING CLERICAL ERROR. (x1) | Procedure denied due to related service not paid (x1)
CO0027,Expenses incurred after coverage terminated,CARC dictionary,Inclusive in Primary Procedure (x1) | Health Savings account payments (x1)
CO0028,Coverage terminated before service date,CARC dictionary,CLAIM REDUCTION (x1) | Claim not submitted within timely filing limitations (x1)
CO0029,The time limit for filing has expired,CARC dictionary,COORDINATION OF BENEFITS APPLIED ON THIS CLAIM (x1) | ATED WITH YOUR MEDICAL GROUP.CLA (x1)
CO003,Co-payment Amount,CARC dictionary,RECOVERY WRITE OFF (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | Prior approval number invalid (x1)
CO0031,Patient cannot be identified as our insured,CARC dictionary,Services Are Not A Medicare Covered Benefit (x1) | RECOVERY WRITE OFF (x1)
CO0033,Insured has no dependent coverage,CARC dictionary,BILL MEDICARE HOSPICE SERVICE (x1) | Bill Medicaid directly. (x1)
CO0036,Balance does not exceed co-payment amount,CARC dictionary,CLAIM ADJUSTMENT (x1) | Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA). (x1)
CO0039,Services denied at the time authorization/pre-certification was requested,CARC dictionary,INVALID INFORMATION RECEIVED (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT (x1)
CO0043,Inappropriate use of procedure code,CARC dictionary,SEQUESTRATION REDUCTION (x1) | PROMPT-PAY DISCOUNT. (x1)
CO0045,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,SUBMISSION/BILLING ERROR (x1) | Services Are Not A Medicare Covered Benefit (x1)
CO0049,This is a non-covered service,CARC dictionary,Medicare allowable (x1) | The diagnosis is inconsistent with the patient's age. (x1)
CO005,The procedure code/bill type is inconsistent with the place of service,CARC dictionary,SERVICE DOWNCODED TO MATCH AUTHORIZED CODE (x1) | PROVIDER CONTRACTED/NEGOTIATED RATE EXPIRED OR NOT ON FILE. (x1)
CO0050,These are non-covered services,CARC dictionary,"SERVICE IS INCLUDED IN THE PER DIEM,CARE RATE,OR GLOBAL FEE (x1) | Provider is not contracted for your plan.  The services were not precertified, therefore no payment will be made. (x1)"
CO0052,Medicare program rules prevent payment for this service,CARC dictionary,RECEIVED /IN PROCESS (x1) | Primary diagnosis missing for procedure. (x1)
CO0055,Procedure/treatment is deemed experimental/investigational,CARC dictionary,DENY SERVICE IS UNBUNDLED (x1) | Denied-No patient responsibility. (x1)
CO0056,"Procedure/treatment has not been deemed ""proven to be effective""",CARC dictionary,THE ALLOWED AMT IS INTENDED TO BE PAYMENT IN FULL FOR COVRD SRVICE/ NEGOTIATED AGREEMENT ON FILE (x1) | JUDICATION. (x1)
CO0058,Treatment was deemed by the payer to have been rendered in an inappropriate setting,CARC dictionary,"MILEAGE QUANTITY DOES NOT MATCH AMBULANCE NOTES (x1) | Medical records have not been received or are insufficient to determine decision of payment. Please submit the ambulance trip notes, ER report, H&P notes, progress notes, and discharge summary within 30 days. (x1)"
CO0061,Penalty for failure to obtain second surgical opinion,CARC dictionary,Other (x1) | Charged exceed our fee schedule or maximum allowable amount. (x1)
CO0062,Payment for obsolete/outdated equipment/materials,CARC dictionary,PAID PER APPROVED RETRO AUTH (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1)
CO007,The procedure/revenue code is inconsistent with the patient's gender,CARC dictionary,OUT OF NETWORK. (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1)
CO008,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,MISSING/INCOMPLETE/INVALID DAYS OR UNITS OF SERVICE. (x1) | PAID MEDICAID FEE SCHEDULE (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1)
CO01,Deductible Amount,CARC dictionary,IPA responsibility (x1) | INGREDIENT COST ADJUSTMENT. (x1)
CO011,The diagnosis is inconsistent with the procedure,CARC dictionary,Applied to deductible (x1) | APPLIED TO DEDUCTIBLE (x1)
CO012,The diagnosis is inconsistent with the provider type,CARC dictionary,Applied to co-pay (x1) | APPLIED TO CO-PAY (x1)
CO013,The date of death precedes the date of service,CARC dictionary,Refund request (x1) | Prior authorization is required but was not obtained. (x1)
CO014,The date of birth follows the date of service,CARC dictionary,DOS after coverage terminated (x1) | Discount agreed to in Preferred Provider contract. (x1)
CO015,"The authorization number is missing, invalid, or does not apply",CARC dictionary,Duplicate Claim (x1) | DOS after coverage terminated (x1)
CO016,Claim/service lacks information or has submission error(s),CARC dictionary,DRG (x1) | Dispensing fee adjustment. (x1)
CO017,Requested information was not provided or was insufficient/incomplete,CARC dictionary,Non-Covered service (x1) | Non standard adjustment code from paper remittance advice. (x1)
CO02,Coinsurance Amount,CARC dictionary,CANNOT ID MEMBER (x1) | Bill w/point of pickup zip code in box 23 (x1)
CO021,This injury/illness is the liability of the no-fault carrier,CARC dictionary,MAXIMUM ALLOWABLE MET (x1) | IPA responsibility (x1)
CO022,This care may be covered by another payer,CARC dictionary,PRIMARY EOB NEEDED (x1) | URANCE PAYMENT. (x1)
CO024,Charges are covered under a capitation agreement/managed care plan,CARC dictionary,"REQUIRES ORIGINAL CLAIMS WITH AL_x000D_
L RELEVANT DOCUMENTATION. (x1) | Procedure is not paid separately (x1)"
CO025,Payment denied. Patient has not met the required eligibility requirements,CARC dictionary,"THE COMBINATION OF PROCEDURE COD_x000D_
E AND MODIFIER IS NOT VALID ON T_x000D_
HE DATES OF SERVICE BILLED. (x1) | Services not covered because the patient is enrolled in a Hospice. (x1)"
CO028,Coverage terminated before service date,CARC dictionary,"SERVICES BILLED EXCEED THE OCCUR_x000D_
RENCES REMAINING ON THE APPROVED_x000D_
TAR/SAR. (x1) | REOPENING CLERICAL ERROR. (x1)"
CO03,Co-payment Amount,CARC dictionary,Untimely Filing (x1) | These are non-covered services because this is a pre-existing condition (x1)
CO030,This payment is being made conditionally,CARC dictionary,"PAYMENT REDUCED BECAUSE OF PATIE_x000D_
NT LIABILITY. (x1) | NSIBILITY OF THE HOSPITAL AFFILI (x1)"
CO031,Patient cannot be identified as our insured,CARC dictionary,"FOR NON-PHYSICIAN CLAIMS,SEE CHA_x000D_
RPENTIER BILLING INSTRUCTION IN _x000D_
THE PROVIDER MANUAL. (x1) | Failure to obtain prior authorization prior to rendering services. (x1)"
CO034,Insured has no coverage for newborns,CARC dictionary,"THIS PROCEDURE IS NOT PAYABLE ON_x000D_
THIS DATE OF SERVICE. (x1) | The referring provider is not eligible to refer the service billed. (x1)"
CO038,Services not provided or not provided as frequently as billed,CARC dictionary,"PAYMENT FOR SERVICE IS THE RESPO_x000D_
NSIBILITY OF THE HOSPITAL AFFILI_x000D_
ATED WITH YOUR MEDICAL GROUP.CLA_x000D_
IM HAS BEEN FORWARDED TO THEM FO_x000D_
R REVIEW. (x1) | Payment denied/reduced for absence of precertification/authorization (x1)"
CO039,Services denied at the time authorization/pre-certification was requested,CARC dictionary,"SERVICES ARE THE FINANCIAL RESPO_x000D_
NSIBILITY OF LOGISTICARE.CLAIM H_x000D_
AS BEEN FORWARDED TO THEM FOR AD_x000D_
JUDICATION. (x1) | REFUND REQUEST (x1)"
CO043,Inappropriate use of procedure code,CARC dictionary,"UPHOLD-THE CLAIM HAS BEEN FORWAR_x000D_
DED TO THE RESPONSIBLE PARTY FOR_x000D_
PMT. (x1) | THESE ARE NON-COVERED SERVICES BECAUSE THIS IS A ROUTINE EXAM OR SCREENING PROCEDURE DONE IN CONJUNCTION WITH A ROUTINE EXAM. (x1)"
CO045,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,"UPHOLD-CONTRACTED/LOA RATE WAS P_x000D_
AID.NO ADDITIONAL AMOUNT DUE. (x1) | These are non-covered services because this is a routine exam or screening procedure done in conjunction with a routine exam. (x1)"
CO046,This service/procedure requires a referral,CARC dictionary,THE MEMBER HAS ELECTED MEDICARE HOSPICE BENEFITS. (x1) | Submit transportation service claim to the proper vendor. (x1)
CO049,This is a non-covered service,CARC dictionary,LATE BILLING * CUTBACK. (x1) | Initial decision upheld (x1)
CO05,The procedure code/bill type is inconsistent with the place of service,CARC dictionary,No authorization on file (x1) | No authorization (x1) | Missing/incomplete/invalid patient name (x1)
CO052,Medicare program rules prevent payment for this service,CARC dictionary,SERVICE INCLUDED IN OTHER SVCS. (x1) | Provider discount. (x1)
CO06,The procedure/revenue code is inconsistent with the patient's age,CARC dictionary,Invalid HCPC codes (x1) | Information requested from the billing/provider was not provided or was insifficient/incomplete (x1)
CO07,The procedure/revenue code is inconsistent with the patient's gender,CARC dictionary,"Invalid DX codes (x1) | THE DIAGNOSIS CODE SUBMITTED IS _x000D_
NOT BILLED TO THE HIGHEST LEVEL _x000D_
OF SPECIFICITY. (x1) | Info Missing/Incomplete (x1) | SERVICES NOT DOCUMENTED IN PATIENTS' MEDICAL RECORDS. (x1)"
CO08,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,Not medically necessary (x1) | NON STANDARD ADJUSTMENT CODE FROM PAPER REMITTANCE ADVICE. (x1)
CO09,The diagnosis is inconsistent with the patient's age,CARC dictionary,Health plan responsibility (x1) | RPENTIER BILLING INSTRUCTION IN (x1)
CO1,Deductible Amount,CARC dictionary,Deductible Amount (x2) | Decision based on review of previusly adjudicated claims or for claims in process for the same/similar type of services. (x1)
CO10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,The diagnosis is inconsistent with the patient's gender. (x2) | SERVICES NOT PROVIDED BY NETWORK/PRIMARY CARE PROVIDERS (x2)
CO102,Major Medical Adjustment,CARC dictionary,Major Medical Adjustment. (x2) | INVALID POLICY/ID NUMBER (x1)
CO107,Payment adjusted for failure to obtain treatment authorization,CARC dictionary,Claim/service adjusted because the related or qualifying claim/service was not identified on this claim. (x2) | Claim/Service adjusted because the attachment referenced on the claim was not received. (x1)
CO109,Claim/service not covered by this payer/contractor,CARC dictionary,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor. (x2) | Claim information is inconsistent with pre-certified/authorized services. (x1)
CO11,The diagnosis is inconsistent with the procedure,CARC dictionary,The diagnosis is inconsistent with the procedure. (x2) | Services not provided or authorized by designated (network/primary care) providers. (x1)
CO112,Service not furnished directly to the patient,CARC dictionary,Payment adjusted as not furnished directly to the patient and/or not documented. (x2) | Patient is not a Veteran as defined in 38 USC 1720G(a)(2). 38 UCS 111(e)(2)(D). (x1)
CO117,Transportation is only covered to the nearest appropriate facility that can provide the required level of care,CARC dictionary,Payment adjusted because transportation is only covered to the closest facility that can provide the necessary care. (x2) | Payment adjusted because this care may be covered by another payer per coordination of benefits. (x1)
CO118,Transportation is only covered for trips under prescribed mileage limit,CARC dictionary,Charges reduced for ESRD network support. (x2) | Charges not approved by Medicare are not covered under the policy. (x1)
CO119,Benefit maximum has been reached,CARC dictionary,Benefit maximum for this time period or occurrence has been reached. (x2) | BASED ON THE FINDINGS OF A REVIEW ORGANIZATION (x1)
CO12,The diagnosis is inconsistent with the provider type,CARC dictionary,"The diagnosis is inconsistent with the provider type. (x2) | Services were rendered after the cancellation date of your contract, therefore, no benefits are payable (x1)"
CO125,Submission/billing error(s),CARC dictionary,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided. (x2) | Payment adjusted because this procedure code and modifier were invalid on the date of service (x1)
CO129,Prior processing information appears incorrect,CARC dictionary,Payment denied - Prior processing information appears incorrect. (x2) | PAYMENT ADJUSTED BECAUSE THIS SERVICE/PROCEDURE REQUIRES THAT A QUALIFYING SERVICE/PROCEDURE BE RECEIVED AND COVERED. THE QUALIFYING OTHER SERVICE/PROCEDURE HAS NOT BEEN RECEIVED/ADJUDICATED. (x1)
CO13,The date of death precedes the date of service,CARC dictionary,The date of death precedes the date of service. (x2) | Services not covered because the patient is enrolled in a Hospice. (x1)
CO131,Claim specific pre-arranged demonstration project adjustment,CARC dictionary,Claim specific negotiated discount. (x2) | Claim overlaps inpatient stay.  Rebill only those services rendered outside the inpatient stay. (x1)
CO132,Prearranged demonstration project adjustment,CARC dictionary,Prearranged demonstration project adjustment. (x2) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x1)
CO133,The disposition of the claim/service is pending further review,CARC dictionary,The disposition of this claim/service is pending further review. (x2) | Social Security records indicate that this patient was a prisoner when the service was rendered. (x1)
CO138,Appeal procedures not followed or time limits expired,CARC dictionary,Claim/service denied. Appeal procedures not followed or time limits not met. (x2) | CLAIM/SERVICE DENIED BECAUSE PROCEDURE/TREATMENT IS DEEMED EXPERIMENTAL/INVESTIGATIONAL BY THE PAYER. (x1)
CO140,Patient/Insured health identification number and name do not match,CARC dictionary,Patient/Insured health identification number and name do not match. (x2) | PATIENT HAS NOT MET THE REQUIRED ELIGIBILITY REQUIREMENTS (x1)
CO146,Diagnosis was invalid for the date(s) of service reported,CARC dictionary,Payment denied because the diagnosis was invalid for the date(s) of service reported. (x2) | PAYMENT ADJUSTED DUE TO A SUBMISSION/BILLING ERROR(S). ADDITIONAL INFORMATION IS SUPPLIED USING THE REMITTANCE ADVICE REMARKS CODES WHENEVER APPROPRIATE. THIS CHANGE TO BE EFFECTIVE 4/1/2007: AT LEAST ONE REMARK CODE MUST BE PROVIDED. (x1)
CO147,Provider contracted/negotiated rate expired on the date of service,CARC dictionary,Provider contracted/negotiated rate expired or not on file. (x2) | Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services. (x1)
CO15,"The authorization number is missing, invalid, or does not apply",CARC dictionary,"Payment adjusted because the submitted authorization number is missing, invalid, or does not apply to the billed services or provider. (x2) | Payment adjusted because the payer deems the information submitted does not support this many services. (x1)"
CO150,Payer deems the information does not support this many services,CARC dictionary,Payment adjusted because the payer deems the information submitted does not support this level of service. (x2) | Payment adjusted as not furnished directly to the patient and/or not documented. (x1) | Payment adjusted because an alternate benefit has been provided (x1) | PAYMENT ADJUSTED BECAUSE AN ALTERNATE BENEFIT HAS BEEN PROVIDED (x1) | PAYMENT ADJUSTED BECAUSE PROCEDURE/SERVICE WAS PARTIALLY OR FULLY FURNISHED BY ANOTHER PROVIDER. (x1)
CO151,Payer deems the information does not support this length of service,CARC dictionary,Payment adjusted because the payer deems the information submitted does not support this many services. (x2) | Payment adjusted because rent/purchase guidelines were not met. (x1) | PAYMENT ADJUSTED BECAUSE RENT/PURCHASE GUIDELINES WERE NOT MET. (x1) | PAYMENT ADJUSTED BECAUSE REQUESTED INFORMATION WAS NOT PROVIDED OR WAS INSUFFICIENT/INCOMPLETE. ADDITIONAL INFORMATION IS SUPPLIED USING THE REMITTANCE ADVICE REMARKS CODES WHENEVER APPROPRIATE. AT LEAST ONE REMARK CODE MUST BE PROVIDED. (x1) | Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided. (x1)
CO16,Claim/service lacks information or has submission error(s),CARC dictionary,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided. (x2) | Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code). (x1)
CO163,Attachment referenced on the claim was not received,CARC dictionary,Claim/Service adjusted because the attachment referenced on the claim was not received. (x3) | Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion. (x2)
CO164,Attachment/other documentation contains services not listed on claim,CARC dictionary,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion. (x2) | Claim specific negotiated discount. (x1) | Claim Withdrawn a Providers request (x1)
CO166,Information requested from the patient/insured was not provided,CARC dictionary,These services were submitted after this payers responsibility for processing claims under this plan ended. (x2) | The disposition of this claim/service is pending further review. (x1)
CO167,This diagnosis is not covered,CARC dictionary,"This (these) diagnosis(es) is (are) not covered. (x2) | The Medicaid state requires provider to be enrolled in the member's Mediciad state program prior to any claim benefits being processed. (x1) | THE MEMBER HAS ELECTED MEDICARE HOSPICE BENEFITS. (x1) | The member's coverage was not in effect on the date services were provided. (x1) | The patient's coverage does not provide for Ambulance services. Therefore, no payment can be made. We provide administrative claims payment services only and do not assume any financial risk or obligation. (x1)"
CO168,Blood deductible,CARC dictionary,Payment denied as Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan (x2) | PAYMENT ADJUSTED BECAUSE TRANSPORTATION IS ONLY COVERED TO THE CLOSEST FACILITY THAT CAN PROVIDE THE NECESSARY CARE. (x1)
CO169,Alternate benefit has been provided,CARC dictionary,Payment adjusted because an alternate benefit has been provided (x2) | Patient is not an eligible person under PIP as applicant was in the use and operation of their own vehicle at the time of motor vehicle accident. (x1)
CO17,Requested information was not provided or was insufficient/incomplete,CARC dictionary,Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided. (x2) | PATIENT RESPONSIBILITY (x1)
CO170,Payment denied when performed/billed by this type of provider,CARC dictionary,"Payment is denied when performed/billed by this type of provider. (x2) | Payment denied/reduced for exceeded, precertification/authorization (x1)"
CO171,Payment adjusted when performed/billed by this provider specialty,CARC dictionary,"Payment is denied when performed/billed by this type of provider in this type of facility. (x2) | Payment denied/reduced for exceeded, precertification/authorization (x1)"
CO177,Patient has not met the required eligibility requirements,CARC dictionary,Payment denied because the patient has not met the required eligibility requirements (x1) | PATIENT HAS NOT MET THE REQUIRED ELIGIBILITY REQUIREMENTS (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1) | Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x1)
CO18,Exact duplicate claim/service,CARC dictionary,Duplicate claim/service. (x2) | Duplicate Claim (x1)
CO181,Procedure code was invalid on the date of service,CARC dictionary,Payment adjusted because this procedure code was invalid on the date of service (x2) | Payment adjusted because the procedure modifier was invalid on the date of service (x2) | PAYMENT ADJUSTED BECAUSE THE PROCEDURE MODIFIER WAS INVALID ON THE DATE OF SERVICE (x1)
CO182,Procedure modifier was invalid on the date of service,CARC dictionary,Payment adjusted because the procedure modifier was invalid on the date of service (x2) | Payment adjusted because the payer deems the information submitted does not support this level of service. (x2) | Payment adjusted because the benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated (x1)
CO183,The referring provider is not eligible to refer service performed,CARC dictionary,The referring provider is not eligible to refer the service billed. (x2) | THE COMBINATION OF PROCEDURE COD (x1)
CO184,The prescribing/ordering provider is not eligible to prescribe/order,CARC dictionary,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. (x2) | The ambulance claim submitted on your behalf has been returned to the provider due ot a billing issue.  If you have questions regarding a corrected claim submission, please contact the community provider. (x1)"
CO185,The rendering provider is not eligible to perform service billed,CARC dictionary,The rendering provider is not eligible to perform the service billed. (x2) | E AND MODIFIER IS NOT VALID ON T (x1)
CO19,This is a work-related injury/illness,CARC dictionary,Claim denied because this is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier. (x2) | Claim denied because this injury/illness is the liability of the no-fault carrier. (x1)
CO190,Payment adjusted - documentation did not support service,CARC dictionary,"Payment denied/reduced for exceeded, precertification/authorization (x3) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x2)"
CO192,Non-standard adjustment code from paper remittance,CARC dictionary,Non standard adjustment code from paper remittance advice. (x2) | No Fault - The application for benefits was not received within 30 days of the accident date and the applicant did not submit prior written notice. (x1) | No Fault - Treatment is not related to the Motor Vehicle Accident. (x1) | No Fault - Written proof of claim was provided more than 45 days after the date these services were rendered. (x1) | No Medicare Allowable (x1)
CO193,Original payment decision is being maintained,CARC dictionary,Original payment decision is being maintained. This claim was processed properly the first time. (x2) | Non-covered charge(s). This change to be effective 4/1/2007: At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.) (x2) | Non-Covered days/Room charge adjustment. (x1)
CO196,Precertification/notification/authorization not within time limit,CARC dictionary,Claim/service denied based on prior payer's coverage determination. (x2) | Claim/service adjusted because the related or qualifying claim/service was not identified on this claim. (x1)
CO197,Precertification/authorization/notification absent,CARC dictionary,Payment denied because the diagnosis was invalid for the date(s) of service reported. (x3) | Payment denied/reduced for absence of precertification/authorization (x2)
CO198,Precertification/authorization exceeded,CARC dictionary,"Payment denied/reduced for exceeded, precertification/authorization (x2) | Payment denied/reduced for absence of precertification/authorization (x2) | Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply. (x1)"
CO2,Coinsurance Amount,CARC dictionary,Coinsurance Amount (x2) | COB/Deny No Fault/MedPay Benefits Apply. (x1)
