CODE,RESOLVED_DESCRIPTION,SOURCE,VARIANTS
CO20,This injury/illness is covered by the liability carrier,CARC dictionary,Claim denied because this injury/illness is covered by the liability carrier. (x2) | Claim denied as patient cannot be identified as our insured. (x1)
CO200,Expenses incurred during lapse in coverage,CARC dictionary,Expenses incurred during lapse in coverage (x2) | Expenses incurred after coverage terminated. (x2)
CO203,Discontinued or reduced service,CARC dictionary,DISCONTINUED OR REDUCED SERVICE (x1) | Did not call Hospice prior to calling EMS as per protocol and education as per De Baker note (x1)
CO204,This service/equipment/drug is not covered,CARC dictionary,This service/equipment/drug is not covered under the patientâ€™s current benefit plan (x1) | The time limit for filing has expired. (x1)
CO21,This injury/illness is the liability of the no-fault carrier,CARC dictionary,Claim denied because this injury/illness is the liability of the no-fault carrier. (x2) | Claim denied because this injury/illness is covered by the liability carrier. (x1)
CO22,This care may be covered by another payer,CARC dictionary,Payment adjusted because this care may be covered by another payer per coordination of benefits. (x2) | Payment adjusted because the payer deems the information submitted does not support this many services. (x1)
CO222,Exceeds the contracted number of hours/days/units,CARC dictionary,Exceeds the contracted maximum number of hours/days/units by this provider for this period (x1) | Duplicate of services previously claimed.  Submitting duplicate claims adds administrative cost for provider and payer. (x1)
CO23,The impact of prior payer(s) adjudication,CARC dictionary,Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x2) | Payment adjusted because this procedure code was invalid on the date of service (x1)
CO234,This procedure is not paid separately,CARC dictionary,THIS PROCEDURE IS NOT PAID SEPERATELY (x1) | The referring provider is not eligible to refer the service billed. (x1)
CO24,Charges are covered under a capitation agreement/managed care plan,CARC dictionary,Payment for charges adjusted. Charges are covered under a capitation agreement/managed care plan. (x2) | Payment denied/reduced for absence of precertification/authorization (x1)
CO25,Payment denied. Patient has not met the required eligibility requirements,CARC dictionary,Payment denied. Your Stop loss deductible has not been met. (x2) | PAYMENT DENIED AS SERVICE(S) HAVE BEEN CONSIDERED UNDER THE PATIENT'S MEDICAL PLAN. BENEFITS ARE NOT AVAILABLE UNDER THIS DENTAL PLAN (x1)
CO251,Attachment/other documentation did not contain required content,CARC dictionary,"The attachment/other documentation that was received was incomplete or deficient. The necessary information is still needed to process the claim. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remitt (x1) | SERVICES BILLED EXCEED THE OCCUR (x1)"
CO252,An attachment/other documentation is required,CARC dictionary,An attachment/other documentation is required to adjudicate this claim/service. (x2) | Attachment is required to adjudicate this claim (x1)
CO253,Sequestration - reduction in federal payment,CARC dictionary,Sequestration - Reduction in Federal Spending. (x2) | Processed in Excess of charges. (x1) | Processed under a demonstration project or program. Project or program is ending and additional services may not be paid under this project or program. (bill Medicaid directly) (x1)
CO256,Service not payable per managed care contract,CARC dictionary,Enrollment Needed (x1) | SERVICE NOT PAYABLE PER MANAGED CARE CONTRACT (x1) | Provider resubmit claim with appropiate ambulance modifier (x1)
CO26,Expenses incurred prior to coverage,CARC dictionary,Expenses incurred prior to coverage. (x2) | Expenses incurred during lapse in coverage (x1)
CO27,Expenses incurred after coverage terminated,CARC dictionary,Expenses incurred after coverage terminated. (x2) | Eligibility Investigation (x1)
CO28,Coverage terminated before service date,CARC dictionary,Coverage not in effect at the time the service was provided. (x2) | CO-PAYMENT AMOUNT (x1)
CO29,The time limit for filing has expired,CARC dictionary,"The time limit for filing has expired. (x2) | The contract does not provide for these services, therefore, no benefits are payable. (x1)"
CO3,Co-payment Amount,CARC dictionary,Co-payment Amount (x2) | Contractual adjustment. (x1)
CO31,Patient cannot be identified as our insured,CARC dictionary,Claim denied as patient cannot be identified as our insured. (x2) | Claim cutback due to Medicare payment. (x1)
CO34,Insured has no coverage for newborns,CARC dictionary,Claim denied. Insured has no coverage for newborns. (x2) | CLAIM DENIED BECAUSE THIS IS A WORK-RELATED INJURY/ILLNESS AND THUS THE LIABILITY OF THE WORKER'S COMPENSATION CARRIER. (x1)
CO39,Services denied at the time authorization/pre-certification was requested,CARC dictionary,Services denied at the time authorization/pre-certification was requested. (x2) | Require dx. (x1)
CO4,The procedure code is inconsistent with the modifier used,CARC dictionary,"The procedure code is inconsistent with the modifier used or a required modifier is missing. (x2) | THE ATTACHMENT/OTHER DOCUMENTATION THAT WAS RECEIVED WAS INCOMPLETE OR DEFICIENT. THE NECESSARY INFORMATION IS STILL NEEDED TO PROCESS THE CLAIM. AT LEAST ONE REMARK CODE MUST BE PROVIDED (MAY BE COMPRISED OF EITHER THE NCPDP REJECT REASON CODE, OR REMITT (x1)"
CO40,Charges do not meet qualifications for emergent/urgent care,CARC dictionary,Charges do not meet qualifications for emergent/urgent care. (x2) | Charges are adjusted based on multiple surgery rules or concurrent anesthesia rules. (x1)
CO41,Obsolete procedure code,CARC dictionary,Discount agreed to in Preferred Provider contract. (x2) | Disagreement of care/out of service area (x1)
CO42,Procedure code was not valid on date of service,CARC dictionary,Charges exceed our fee schedule or maximum allowable amount. (x2) | Charges do not meet qualifications for emergent/urgent care. (x1)
CO43,Inappropriate use of procedure code,CARC dictionary,"Gramm-Rudman reduction. (x2) | FOR NON-PHYSICIAN CLAIMS,SEE CHA (x1)"
CO44,Prompt-pay discount,CARC dictionary,Prompt-pay discount. (x2) | Pmnt reversal-Hospice member-bill Medicare directly (x1)
CO45,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,Charges exceed your contracted/ legislated fee arrangement. This change to be effective 6/1/07: Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. (Use Group Codes PR or CO depending upon liability). (x2) | Charges exceed our fee schedule or maximum allowable amount. (x1)
CO46,This service/procedure requires a referral,CARC dictionary,This (these) service(s) is (are) not covered. (x2) | The prescribing/ordering provider is not eligible to prescribe/order the service billed. (x1)
CO49,This is a non-covered service,CARC dictionary,These are non-covered services because this is a routine exam or screening procedure done in conjunction with a routine exam. (x2) | The diagnosis is inconsistent with the patient's gender. (x1)
CO5,The procedure code/bill type is inconsistent with the place of service,CARC dictionary,The procedure code/bill type is inconsistent with the place of service. (x2) | The claim was submitted for a patient who is not enrolled in a VA Health Care System. (x1)
CO50,These are non-covered services,CARC dictionary,These are non-covered services because this is not deemed a 'medical necessity' by the payer. (x2) | The diagnosis is inconsistent with the procedure. (x1)
CO54,Multiple physicians/assistants are not covered,CARC dictionary,Multiple physicians/assistants are not covered in this case . (x2) | Misrouted Claim. See the payor's claim submission instructions. Start 08/01/2007 (x1)
CO55,Procedure/treatment is deemed experimental/investigational,CARC dictionary,Claim/service denied because procedure/treatment is deemed experimental/investigational by the payer. (x2) | Claim/service denied based on prior payer's coverage determination. (x1)
CO56,"Procedure/treatment has not been deemed ""proven to be effective""",CARC dictionary,Claim/service denied because procedure/treatment has not been deemed 'proven to be effective' by the payer. (x2) | Claim/service denied based on prior payer's coverage determination. (x1)
CO58,Treatment was deemed by the payer to have been rendered in an inappropriate setting,CARC dictionary,"Payment adjusted because treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service. (x2) | Claim/services denied /reduce due to invalid place of service (x1) | Claim/service not covered/reduced because alternative services were available, and should have been utilized. (x1) | CLAIM/SERVICE REJECTED AT THIS TIME BECAUSE INFORMATION FROM ANOTHER PROVIDER WAS NOT PROVIDED OR WAS INSUFFICIENT/INCOMPLETE. (x1)"
CO59,Processed based on multiple or concurrent procedure rules,CARC dictionary,Charges are adjusted based on multiple surgery rules or concurrent anesthesia rules. (x2) | Charges adjusted as penalty for failure to obtain second surgical opinion. (x1)
CO61,Penalty for failure to obtain second surgical opinion,CARC dictionary,Charges adjusted as penalty for failure to obtain second surgical opinion. (x2) | Charge exceeds the covered amount for service (x1)
CO70,Cost outlier - Adjustment to compensate for additional costs,CARC dictionary,Cost outlier - Adjustment to compensate for additional costs. (x2) | CO-PAYMENT AMOUNT (x1)
CO8,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,The procedure code is inconsistent with the provider type/specialty (taxonomy). (x2) | The charge exceeds the Medicare allowable amount. (x1)
CO9,The diagnosis is inconsistent with the patient's age,CARC dictionary,The diagnosis is inconsistent with the patient's age. (x2) | Services not documented in patients' medical records. (x1)
CO90,Worker's Compensation adjustment,CARC dictionary,Ingredient cost adjustment. (x2) | Inconsistent diagnosis and/or modifier (x1)
CO91,Denial reversed per Medical Review,CARC dictionary,Dispensing fee adjustment. (x2) | DISCONTINUED OR REDUCED SERVICE (x1)
CO94,Processed in accordance with Demonstration Project,CARC dictionary,Processed in Excess of charges. (x2) | Please submit charge to Medicaid (x1)
CO95,Plan procedures not followed,CARC dictionary,Benefits adjusted. Plan procedures not followed. (x2) | BENEFIT MAXIMUM FOR THIS TIME PERIOD OR OCCURRENCE HAS BEEN REACHED. (x1)
CO96,Non-covered charge(s),CARC dictionary,Non-covered charge(s). This change to be effective 4/1/2007: At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.) (x2) | No PIP Application on File. (x1)
CO97,Payment is included in another service/procedure,CARC dictionary,Payment adjusted because the benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated (x2) | Patient(s) was/were not admitted to hospice program at the time service(s) was/were provided. (x1)
COA1,Deductible Amount,CARC dictionary,Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code). (x2) | Claim/service denied. Appeal procedures not followed or time limits not met. (x1)
COA2,Coinsurance Amount,CARC dictionary,Contractual adjustment. (x2) | Completed suborgation/workers compensation questionaire needed from member before claim can be processed. (x1)
COB10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,Allowed amount has been reduced because a component of the basic procedure/test was paid. The beneficiary is not liable for more than the charge limit for the basic procedure/test. (x2) | ALLOWED AMOUNT HAS BEEN REDUCED BECAUSE A COMPONENT OF THE BASIC PROCEDURE/TEST WAS PAID. THE BENEFICIARY IS NOT LIABLE FOR MORE THAN THE CHARGE LIMIT FOR THE BASIC PROCEDURE/TEST. (x1)
COB11,The diagnosis is inconsistent with the procedure,CARC dictionary,The claim/service has been transferred to the proper payer/processor for processing. Claim/service not covered by this payer/processor. (x2) | Services denied at the time authorization/pre-certification was requested. (x1)
COB12,The diagnosis is inconsistent with the provider type,CARC dictionary,Services not documented in patients' medical records. (x2) | SEQUESTRATION REDUCTION (x1)
COB15,"The authorization number is missing, invalid, or does not apply",CARC dictionary,"Payment adjusted because this service/procedure requires that a qualifying service/procedure be received and covered. The qualifying other service/procedure has not been received/adjudicated. (x2) | PAYMENT ADJUSTED BECAUSE THE SUBMITTED AUTHORIZATION NUMBER IS MISSING, INVALID, OR DOES NOT APPLY TO THE BILLED SERVICES OR PROVIDER. (x1)"
COB18,Exact duplicate claim/service,CARC dictionary,Payment adjusted because this procedure code and modifier were invalid on the date of service (x2) | Payment adjusted because the procedure modifier was invalid on the date of service (x1)
COB20,This injury/illness is covered by the liability carrier,CARC dictionary,Payment adjusted because procedure/service was partially or fully furnished by another provider. (x2) | Patient not admitted to hospice program at the time service provided. (x1)
COB4,The procedure code is inconsistent with the modifier used,CARC dictionary,Late filing penalty. (x2) | INITIAL DECISION-UPHELD (x1)
COB7,The procedure/revenue code is inconsistent with the patient's gender,CARC dictionary,This provider was not certified/eligible to be paid for this procedure/service on this date of service. (x2) | THE RENDERING PROVIDER IS NOT ELIGIBLE TO PERFORM THE SERVICE BILLED. (x1)
COB9,The diagnosis is inconsistent with the patient's age,CARC dictionary,Services not covered because the patient is enrolled in a Hospice. (x2) | Send copy of EOB from primary carrier. (x1)
COP14,Payment included in payment for another service/procedure on same day (Property & Casualty),CARC dictionary,The Benefit for this Service is included in the payment/allowance for another service/procedure that has been performed on the same day (x1) | RENCES REMAINING ON THE APPROVED (x1)
COP5,Based on payer reasonable and customary fees,CARC dictionary,"Based on payer reasonable and customary fees. No maximum allowable defined by legislated fee arrangement. To be_x000D_
used for Property and Casualty only. (x1) | BASED ON PAYER REASONABLE AND CUSTOMARY FEES. NO MAXIMUM ALLOWABLE DEFINED BY LEGISLATED FEE ARRANGEMENT. TO BE (x1)"
CR119,Benefit maximum has been reached,CARC dictionary,"Benefit maximum for this time period or occurrence has been reached. (x2) | Because Medicare did not approve this expense, no benefits are payable. (x1)"
CR23,The impact of prior payer(s) adjudication,CARC dictionary,Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x2) | Payment adjusted because this procedure code was invalid on the date of service (x1)
CR27,Expenses incurred after coverage terminated,CARC dictionary,Expenses incurred after coverage terminated. (x2) | EXCEEDS THE CONTRACTED MAXIMUM NUMBER OF HOURS/DAYS/UNITS BY THIS PROVIDER FOR THIS PERIOD (x1)
CR29,The time limit for filing has expired,CARC dictionary,The time limit for filing has expired. (x2) | The date of death precedes the date of service. (x1)
CR38,Services not provided or not provided as frequently as billed,CARC dictionary,Services not provided or authorized by designated (network/primary care) providers. (x2) | Service non-covered for beneficiary enrolled in PDP (pharmacy discount program) (x1)
H-MCR105,HMO claim is pending-violation of prompt pay law,Workbook majority,HMO claim is pending-violation of prompt pay law (x1) | MCARE HMO claim is pending-violation of prompt pay law (x1)
H-MCR106,Disagreement of care/out of service area,Legacy denial list,Disagreement of care/out of service area (x1) | Diagnosis is inconsistent with procedure billed (x1)
H-MCR129,Charges exceed fee schedule; Max allowable,Legacy denial list,Charges exceed fee schedule; Max allowable (x1) | Charges do not meet qualifications for emergent/urgent care. (x1)
N706,Missing documentation.,Legacy denial list,Missing Documentation (x1) | Medicare Information Missing or Invalid Resubmit (x1)
NULL,<None>,Workbook majority,<None> (x2) | Charges non-covered (x2) | Invalid policy/id number (x1)
OA10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,The diagnosis is inconsistent with the patient's gender. (x2) | Services not provided or authorized by designated (network/primary care) providers. (x1)
OA100,Payment made to patient/insured/responsible party,CARC dictionary,Payment made to patient/insured/responsible party. (x2) | Payment for charges adjusted. Charges are covered under a capitation agreement/managed care plan. (x1)
OA102,Major Medical Adjustment,CARC dictionary,Major Medical Adjustment. (x2) | Invalid policy/id number (x1)
OA108,Rent/purchase guidelines were not met,CARC dictionary,Payment adjusted because rent/purchase guidelines were not met. (x2) | Patient not eligible on defense enrollment and eligibility reporting system (DEERS). (x1)
OA109,Claim/service not covered by this payer/contractor,CARC dictionary,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor. (x2) | Claim is unrelated to workers compensation case. (x1)
OA11,The diagnosis is inconsistent with the procedure,CARC dictionary,The diagnosis is inconsistent with the procedure. (x2) | SERVICES NOT PROVIDED OR AUTHORIZED BY DESIGNATED (NETWORK/PRIMARY CARE) PROVIDERS. (x1)
OA119,Benefit maximum has been reached,CARC dictionary,Benefit maximum for this time period or occurrence has been reached. (x2) | BENEFIT MAXIMUM FOR THIS TIME PERIOD OR OCCURRENCE HAS BEEN REACHED. (x1)
OA121,Indemnification adjustment,CARC dictionary,Indemnification adjustment. (x2) | Hospice primary (x1)
OA129,Prior processing information appears incorrect,CARC dictionary,Payment denied - Prior processing information appears incorrect. (x2) | Payment adjusted because this service/procedure requires that a qualifying service/procedure be received and covered. The qualifying other service/procedure has not been received/adjudicated. (x1)
OA131,Claim specific pre-arranged demonstration project adjustment,CARC dictionary,Claim specific negotiated discount. (x2) | CLAIM REDUCTION (x1)
OA133,The disposition of the claim/service is pending further review,CARC dictionary,The disposition of this claim/service is pending further review. (x2) | SUBMISSION/BILLING ERROR (x1)
OA136,Failure to follow prior payer's coverage determination,CARC dictionary,Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA). (x2) | Charges submitted show an incorrect date of service and/or patient name (x1)
OA138,Appeal procedures not followed or time limits expired,CARC dictionary,Claim/service denied. Appeal procedures not followed or time limits not met. (x2) | CLAIM/SERVICE DENIED BECAUSE PROCEDURE/TREATMENT IS DEEMED EXPERIMENTAL/INVESTIGATIONAL BY THE PAYER. (x1)
OA146,Diagnosis was invalid for the date(s) of service reported,CARC dictionary,Payment denied because the diagnosis was invalid for the date(s) of service reported. (x2) | Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x2)
OA16,Claim/service lacks information or has submission error(s),CARC dictionary,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided. (x2) | Claim/Service has missing diagnosis information. (x1)
OA164,Attachment/other documentation contains services not listed on claim,CARC dictionary,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion. (x2) | CLAIM/SERVICE ADJUSTED BECAUSE THE ATTACHMENT REFERENCED ON THE CLAIM WAS NOT RECEIVED IN A TIMELY FASHION. (x1)
OA168,Blood deductible,CARC dictionary,Payment denied as Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan (x2) | PAYMENT ADJUSTED BECAUSE TRANSPORTATION IS ONLY COVERED TO THE CLOSEST FACILITY THAT CAN PROVIDE THE NECESSARY CARE. (x1)
OA172,Payment adjusted as this service cannot be identified,CARC dictionary,Payment is adjusted when performed/billed by a provider of this specialty (x2) | Payment denied/reduced for absence of precertification/authorization (x2)
OA177,Patient has not met the required eligibility requirements,CARC dictionary,Payment denied because the patient has not met the required eligibility requirements (x1) | Payment adjusted for exceeding precertification/authorization (x1)
OA18,Exact duplicate claim/service,CARC dictionary,Duplicate claim/service. (x2) | Duplicate Claim (x1)
OA181,Procedure code was invalid on the date of service,CARC dictionary,Payment adjusted because this procedure code was invalid on the date of service (x2) | Payment adjusted because the procedure modifier was invalid on the date of service (x2)
OA182,Procedure modifier was invalid on the date of service,CARC dictionary,Payment adjusted because the procedure modifier was invalid on the date of service (x2) | Payment adjusted because the payer deems the information submitted does not support this level of service. (x2)
OA187,Consumer Spending Account payments,CARC dictionary,Health Savings account payments (x2) | THE PROVIDER MANUAL. (x1) | Fractional mileage units required. (x1) | GRAMM-RUDMAN REDUCTION. (x1)
OA19,This is a work-related injury/illness,CARC dictionary,Claim denied because this is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier. (x2) | CLAIM DENIED BECAUSE THIS INJURY/ILLNESS IS THE LIABILITY OF THE NO-FAULT CARRIER. (x1)
OA192,Non-standard adjustment code from paper remittance,CARC dictionary,Non standard adjustment code from paper remittance advice. (x2) | No NPI on submitted claim (x1)
OA193,Original payment decision is being maintained,CARC dictionary,Original payment decision is being maintained. This claim was processed properly the first time. (x2) | Non-covered diagnosis. (x1) | Non-Covered service (x1) | Non-covered service. (x1)
OA197,Precertification/authorization/notification absent,CARC dictionary,Payment denied/reduced for absence of precertification/authorization (x2) | Payment denied because the patient has not met the required eligibility requirements (x2) | Payment denied because the diagnosis was invalid for the date(s) of service reported. (x1)
OA198,Precertification/authorization exceeded,CARC dictionary,"Payment denied/reduced for exceeded, precertification/authorization (x2) | Payment adjusted because this procedure code was invalid on the date of service (x1)"
OA21,This injury/illness is the liability of the no-fault carrier,CARC dictionary,Claim denied because this injury/illness is the liability of the no-fault carrier. (x2) | Claim denied because this injury/illness is covered by the liability carrier. (x1)
OA216,New Patient qualifications were not met,CARC dictionary,ggh (x1) | PROVIDER DISPUTE DENIED (x1)
OA22,This care may be covered by another payer,CARC dictionary,Payment adjusted because this care may be covered by another payer per coordination of benefits. (x2) | Payment adjusted because the payer deems the information submitted does not support this many services. (x1)
OA23,The impact of prior payer(s) adjudication,CARC dictionary,Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x2) | Payment adjusted because this procedure code was invalid on the date of service (x1)
OA243,Services not authorized by network/primary care provider,CARC dictionary,Services not authorized by network/primary care providers. (x1) | Secondary payment cannot be considered without the identity of or payment information from the primary payer. (x1) | Send copy of EOB from primary carrier (x1)
OA253,Sequestration - reduction in federal payment,CARC dictionary,Sequestration - reduction in federal payment (x1) | Processed in Excess of charges. (x1)
OA258,Claim/service not covered when patient is in this type of facility,CARC dictionary,"OA258 - Claim/service not covered when patient is in custody/incarcerated. Applicable federal, state or local authority may cover the claim/service. (x1) | Non-covered charge(s). This change to be effective 4/1/2007: At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.) (x1)"
OA28,Coverage terminated before service date,CARC dictionary,Coverage not in effect at the time the service was provided. (x2) | Cost outlier - Adjustment to compensate for additional costs. (x1)
OA29,The time limit for filing has expired,CARC dictionary,The time limit for filing has expired. (x2) | THE DIAGNOSIS CODE SUBMITTED IS (x1)
OA31,Patient cannot be identified as our insured,CARC dictionary,Claim denied as patient cannot be identified as our insured. (x2) | Claim Denied - Beneficiary travel claim was filed outside of the 30-day timely filing limitation. 38 CFR 70.20 (c). (x1)
OA38,Services not provided or not provided as frequently as billed,CARC dictionary,Services not provided or authorized by designated (network/primary care) providers. (x2) | Service not contracted. (x1)
OA39,Services denied at the time authorization/pre-certification was requested,CARC dictionary,Services denied at the time authorization/pre-certification was requested. (x2) | REQUIRES ORIGINAL CLAIMS WITH AL (x1)
OA4,The procedure code is inconsistent with the modifier used,CARC dictionary,The procedure code is inconsistent with the modifier used or a required modifier is missing. (x2) | THE ATTACHMENT/OTHER DOCUMENTATION THAT WAS RECEIVED WAS THE INCORRECT ATTACHMENT/DOCUMENT. (x1)
OA42,Procedure code was not valid on date of service,CARC dictionary,Charges exceed our fee schedule or maximum allowable amount. (x2) | Charges exceed fee schedule; Max allowable (x1)
OA45,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,Charges exceed your contracted/ legislated fee arrangement. This change to be effective 6/1/07: Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. (Use Group Codes PR or CO depending upon liability). (x2) | Charges exceed our fee schedule or maximum allowable amount. (x1)
OA47,This service/procedure requires authorization from the patient's primary care provider,CARC dictionary,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid. (x2) | The ICD9 code on the claim do not support the billed procedure code (x1)"
OA50,These are non-covered services,CARC dictionary,These are non-covered services because this is not deemed a 'medical necessity' by the payer. (x2) | The diagnosis is inconsistent with the procedure. (x1)
OA57,Payment based on policy limits,CARC dictionary,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply. (x2) | PAYMENT DENIED AS SERVICE(S) HAVE BEEN CONSIDERED UNDER THE PATIENT'S MEDICAL PLAN. BENEFITS ARE NOT AVAILABLE UNDER THIS DENTAL PLAN (x1)"
OA8,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,The procedure code is inconsistent with the provider type/specialty (taxonomy). (x2) | The claim was submitted for a patient whi is not enrolled in a VA Health Care System. (x1)
OA94,Processed in accordance with Demonstration Project,CARC dictionary,Processed in Excess of charges. (x2) | Please submit Medicare summary notice (x1)
OA95,Plan procedures not followed,CARC dictionary,Benefits adjusted. Plan procedures not followed. (x2) | BENEFIT MAXIMUM FOR THIS TIME PERIOD OR OCCURRENCE HAS BEEN REACHED. (x1)
